Address,Area,Bedrooms,Bathrooms,Floors,Frontage,Access Road,House direction,Balcony direction,Legal status,Furniture state,Price
"Long Biên, Hà Nội",50.0,4.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,12500.0
"Bình Chánh, Hồ Chí Minh",98.0,4.0,4.0,3.0,True,,N/A,N/A,N/A,N/A,5500.0
"Gò Vấp, Hồ Chí Minh",62.0,4.0,5.0,6.0,False,,N/A,N/A,N/A,N/A,8740.0
"Long Biên, Hà Nội",39.0,3.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,6500.0
"Cầu Giấy, Hà Nội",45.0,3.0,3.0,7.0,True,,N/A,N/A,N/A,N/A,16980.0
"Hà Đông, Hà Nội",34.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,6550.0
"Thanh Xuân, Hà Nội",86.0,5.0,4.0,4.0,False,,N/A,N/A,N/A,N/A,13500.0
"Nam Từ Liêm, Hà Nội",5.0,5.0,4.0,6.0,False,,N/A,N/A,N/A,N/A,7500.0
"Quận 8, Hồ Chí Minh",50.0,5.0,5.0,5.0,False,,N/A,N/A,N/A,N/A,6000.0
"Quận 5, Hồ Chí Minh",40.0,4.0,4.0,5.0,True,,N/A,N/A,N/A,N/A,14500.0
"Tây Hồ, Hà Nội",40.0,4.0,5.0,5.0,False,,N/A,N/A,N/A,N/A,8500.0
"Quận 12, Hồ Chí Minh",138.0,13.0,13.0,6.0,False,,N/A,N/A,N/A,N/A,13700.0
"Quận 5, Hồ Chí Minh",30.0,2.0,2.0,2.0,False,,N/A,N/A,N/A,N/A,3900.0
"Gò Vấp, Hồ Chí Minh",90.0,5.0,6.0,6.0,False,,N/A,N/A,N/A,N/A,14000.0
"Quận 8, Hồ Chí Minh",64.0,4.0,4.0,5.0,False,,N/A,N/A,N/A,N/A,7800.0
"Nha Trang, Khánh Hòa",111.0,17.0,,7.0,True,,N/A,N/A,N/A,N/A,27000.0
"Thủ Đức, Hồ Chí Minh",85.0,5.0,6.0,4.0,False,,N/A,N/A,N/A,N/A,6150.0
"Vĩnh Cửu, Đồng Nai",100.0,4.0,2.0,3.0,False,,N/A,N/A,N/A,N/A,550.0
"Tây Hồ, Hà Nội",75.0,6.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,21500.0
"Thanh Xuân, Hà Nội",59.0,4.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,19000.0
"Quận 4, Hồ Chí Minh",48.0,8.0,8.0,7.0,False,,N/A,N/A,N/A,N/A,8530.0
"Hoài Đức, Hà Nội",40.0,4.0,5.0,7.0,False,,N/A,N/A,N/A,N/A,8600.0
"Tây Hồ, Hà Nội",40.0,4.0,5.0,6.0,False,,N/A,N/A,N/A,N/A,6000.0
"Quận 8, Hồ Chí Minh",50.0,5.0,6.0,5.0,True,,N/A,N/A,N/A,N/A,9000.0
"Quận 12, Hồ Chí Minh",75.0,3.0,3.0,4.0,True,,N/A,N/A,N/A,N/A,6000.0
"Quận 8, Hồ Chí Minh",50.0,5.0,5.0,5.0,False,,N/A,N/A,N/A,N/A,6000.0
"Long Biên, Hà Nội",90.0,5.0,3.0,5.0,False,,N/A,N/A,N/A,N/A,23000.0
"Ba Đình, Hà Nội",30.0,3.0,3.0,5.0,True,,N/A,N/A,N/A,N/A,8980.0
"Gò Vấp, Hồ Chí Minh",80.0,3.0,3.0,3.0,False,,N/A,N/A,N/A,N/A,7000.0
"Bình Tân, Hồ Chí Minh",83.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,5900.0
"Ba Đình, Hà Nội",30.0,3.0,2.0,5.0,True,,N/A,N/A,N/A,N/A,5800.0
"Quận 8, Hồ Chí Minh",64.0,5.0,6.0,3.0,False,,N/A,N/A,N/A,N/A,13500.0
"Tân Bình, Hồ Chí Minh",68.0,10.0,9.0,4.0,True,,N/A,N/A,N/A,N/A,10960.0
"Tân Phú, Hồ Chí Minh",50.0,3.0,3.0,4.0,False,,N/A,N/A,N/A,N/A,7150.0
"Long Biên, Hà Nội",60.0,5.0,3.0,6.0,False,,N/A,N/A,N/A,N/A,10600.0
"Ba Đình, Hà Nội",34.0,3.0,5.0,6.0,True,,N/A,N/A,N/A,N/A,25500.0
"Thủ Đức, Hồ Chí Minh",119.0,3.0,3.0,4.0,True,,N/A,N/A,N/A,N/A,16900.0
