District,Count,Avg_Price,Min_Price,Max_Price,Median_Price
Thuận Nam,1,950000.0,950000.0,950000.0,950000.0
Đức Linh,18,397222.96,1.8,650000.0,650000.0
Hàm Thuận Nam,3,193300.0,900.0,500000.0,79000.0
Lộc Ninh,1,130000.0,130000.0,130000.0,130000.0
Yên Mỹ,1,100000.0,100000.0,100000.0,100000.0
Sơn Dương,1,70000.0,70000.0,70000.0,70000.0
Hoàn Kiếm,329,69688.51,0.0,750000.0,11000.0
Mỹ Hào,4,50725.0,1000.0,180000.0,10950.0
Cẩm Khê,1,46800.0,46800.0,46800.0,46800.0
Ứng Hòa,1,46000.0,46000.0,46000.0,46000.0
Duy Tiên,1,40000.0,40000.0,40000.0,40000.0
Quận 1,642,38418.42,0.0,480000.0,17800.0
Tây Hồ,1198,32352.05,0.0,739000.0,14000.0
Củ Chi,94,30670.19,0.0,500000.0,6000.0
Yên Lạc,1,30000.0,30000.0,30000.0,30000.0
Quận 5,306,28433.8,0.0,950000.0,18500.0
Lai Châu,1,28000.0,28000.0,28000.0,28000.0
Quận 3,443,27107.59,0.0,795000.0,9600.0
Vũng Tàu,46,26533.52,0.0,588000.0,8000.0
Quận 2,570,26093.07,0.0,500000.0,10850.0
Quận 11,213,23853.83,0.0,950000.0,9600.0
Ba Đình,1344,22412.01,0.0,500000.0,9525.0
Cầu Giấy,2443,20409.82,0.0,920000.0,13500.0
Hai Bà Trưng,1691,19180.45,0.0,620000.0,8300.0
Thanh Oai,21,17629.63,4.45,300000.0,3700.0
Đống Đa,2780,17256.54,0.0,849000.0,10500.0
Quận 10,952,16618.1,0.0,950000.0,8785.0
Duy Xuyên,1,16500.0,16500.0,16500.0,16500.0
Hóc Môn,603,16443.26,0.0,175000.0,9100.0
Phú Nhuận,785,16402.06,0.0,950000.0,8200.0
Thanh Xuân,2258,16395.16,0.0,795000.0,10000.0
Từ Sơn,29,16185.24,20.0,60000.0,9200.0
Tứ Kỳ,1,16000.0,16000.0,16000.0,16000.0
Nam Từ Liêm,1066,15107.98,0.0,989000.0,8200.0
Trảng Bom,32,15078.39,1.1,280000.0,1500.0
Kiến An,18,14873.44,1212.0,23999.0,23499.0
Long Biên,2683,14810.5,0.0,565000.0,9700.0
Bình Thạnh,1309,14287.39,0.0,835000.0,7600.0
Hội An,24,14258.96,65.0,48500.0,8750.0
Văn Giang,27,14077.27,6.0,120000.0,13700.0
Ngũ Hành Sơn,217,13880.28,0.0,135000.0,9500.0
Quận 7,1320,13147.86,0.0,950000.0,7900.0
Quận 12,2528,13015.46,0.0,550000.0,5835.0
Bắc Tân Uyên,2,12930.0,860.0,25000.0,12930.0
Tân Bình,1815,12877.42,0.0,240000.0,8500.0
Bắc Từ Liêm,984,12834.29,0.0,738000.0,8000.0
Thủ Đức,1466,12815.51,0.0,679000.0,6500.0
Bến Lức,23,12740.0,100.0,100000.0,4000.0
Sơn Trà,315,12456.23,0.0,275000.0,8900.0
Hà Đông,1865,12451.84,0.0,750000.0,7920.0
Long Khánh,5,12276.6,225.0,58000.0,750.0
Quận 6,226,11962.34,3.8,300000.0,6300.0
Lương Tài,3,11881.67,90.0,30000.0,5555.0
Lào Cai,3,11160.0,1000.0,30000.0,2480.0
Thái Thuỵ,1,11000.0,11000.0,11000.0,11000.0
Chơn Thành,3,10998.17,7.5,29000.0,3987.0
Cẩm Lệ,201,10809.28,5.0,675000.0,5950.0
Hoàng Mai,2229,10783.92,0.0,598000.0,7400.0
Châu Đức,7,10356.57,86.0,60000.0,875.0
Thủy Nguyên,16,10251.8,2.8,25774.0,10188.5
Gia Lâm,276,10234.53,0.0,38999.0,7400.0
Thanh Trì,496,10225.22,0.0,365000.0,6500.0
Gò Vấp,2310,9891.69,0.0,398000.0,6200.0
Quận 8,1910,9873.77,0.0,200000.0,8300.0
Long Thành,30,9651.63,0.0,134000.0,3000.0
Cam Ranh,15,9510.67,10.0,31000.0,7500.0
Bắc Giang,4,9506.25,25.0,22000.0,8000.0
Nha Trang,964,9496.9,0.0,575000.0,4170.0
Quận 4,535,9463.85,0.0,130000.0,6500.0
Quận 9,1047,9232.05,0.0,399000.0,6400.0
Hoài Đức,547,9068.69,0.0,690000.0,5200.0
Vĩnh Yên,18,8900.17,3.0,15100.0,9000.0
Xuyên Mộc,3,8733.33,3200.0,12000.0,11000.0
Thuận Thành,3,8669.0,7.0,15000.0,11000.0
Vinh,6,8448.33,10.0,26000.0,5395.0
Cần Giờ,10,8363.0,310.0,20000.0,9500.0
Tân Phú,2737,8311.7,0.0,236000.0,6200.0
Hải Châu,332,8267.54,0.0,87000.0,6000.0
Đông Anh,97,8233.66,4.2,28000.0,5500.0
Bình Chánh,348,8214.06,0.0,90000.0,7450.0
Vạn Ninh,1,8000.0,8000.0,8000.0,8000.0
Tuy Hòa,1,8000.0,8000.0,8000.0,8000.0
Xuân Lộc,1,7900.0,7900.0,7900.0,7900.0
Phan Thiết,6,7873.97,1.8,38000.0,1117.5
Tân Uyên,58,7766.51,0.0,80000.0,1260.0
Đan Phượng,101,7661.92,4.35,39000.0,5250.0
Châu Thành,11,7637.25,1.8,15500.0,5500.0
Thái Bình,262,7313.21,0.0,67000.0,5230.0
Lập Thạch,1,7300.0,7300.0,7300.0,7300.0
Phú Quốc,7,7162.14,45.0,20000.0,8000.0
Bình Tân,2056,7160.26,0.0,159000.0,5600.0
Đức Hòa,50,7030.8,0.0,50000.0,3750.0
Thốt Nốt,1,7000.0,7000.0,7000.0,7000.0
Bến Cát,135,6972.75,6.0,550000.0,2660.0
Dĩ An,189,6719.79,0.0,87000.0,4700.0
Sóc Sơn,6,6480.0,2300.0,13680.0,5700.0
Nhà Bè,337,6245.08,0.0,84000.0,5500.0
Đất Đỏ,1,6200.0,6200.0,6200.0,6200.0
Kim Bảng,10,6070.0,2000.0,11000.0,5650.0
Thanh Liêm,3,6022.0,3900.0,10266.0,3900.0
Hải An,159,6021.98,0.0,40000.0,3200.0
Đông Hưng,30,6019.67,1520.0,11000.0,5000.0
Tam Điệp,3,6000.0,6000.0,6000.0,6000.0
Biên Hòa,375,5911.92,0.0,500000.0,1990.0
Thanh Khê,181,5673.25,1.4,29900.0,4280.0
Thống Nhất,5,5656.0,900.0,23000.0,1400.0
Liên Chiểu,106,5655.26,12.0,32000.0,4865.0
Tuyên Quang,3,5533.33,3500.0,8800.0,4300.0
Hưng Hà,1,5500.0,5500.0,5500.0,5500.0
Hồng Bàng,11,5457.34,2.7,14500.0,3150.0
Quy Nhơn,16,5353.28,2.55,15000.0,4500.0
Thường Tín,16,5339.94,1000.0,19500.0,4825.0
Thanh Hóa,20,5273.05,5.0,24000.0,2070.0
Bắc Ninh,15,5255.8,15.0,21500.0,2100.0
Tiên Lãng,1,5240.0,5240.0,5240.0,5240.0
Lê Chân,175,5091.18,2.15,27500.0,3200.0
Phú Thọ,1,5000.0,5000.0,5000.0,5000.0
Hải Dương,11,4992.73,50.0,28000.0,3000.0
Yên Phong,4,4990.0,60.01,16000.0,1950.0
Dương Minh Châu,1,4990.0,4990.0,4990.0,4990.0
Phú Xuyên,1,4900.0,4900.0,4900.0,4900.0
Ninh Sơn,1,4900.0,4900.0,4900.0,4900.0
Phúc Yên,13,4820.31,15.0,10500.0,6000.0
Việt Trì,6,4814.75,3.5,16000.0,3225.0
Yên Bái,5,4632.6,3300.0,7200.0,3950.0
Phủ Lý,20,4611.15,30.0,16000.0,2800.0
Thuận An,136,4608.59,3.0,100000.0,2840.0
Đà Lạt,262,4570.98,0.0,150000.0,35.0
Ngã Bảy,1,4500.0,4500.0,4500.0,4500.0
Cao Phong,1,4500.0,4500.0,4500.0,4500.0
Bà Rịa,14,4439.14,8.0,24000.0,3450.0
Quảng Ngãi,8,4431.25,3750.0,7100.0,4100.0
Nhơn Trạch,41,4373.57,4.5,85000.0,950.0
